1;156;198;100;NULL;625000;NULL;NULL
2;156;198;150;NULL;679800;NULL;NULL
3;156;198;200;NULL;736700;NULL;NULL
4;156;198;250;NULL;795700;NULL;NULL
5;156;198;300;NULL;856800;NULL;NULL
6;156;198;350;NULL;920000;NULL;NULL
7;156;198;400;NULL;985300;NULL;NULL
8;156;198;450;NULL;1052700;NULL;NULL
9;156;198;500;NULL;1122200;NULL;NULL
10;156;198;550;NULL;1193800;NULL;NULL
11;156;198;600;NULL;1267500;NULL;NULL
12;156;198;650;NULL;1343300;NULL;NULL
13;156;198;700;NULL;1421200;NULL;NULL
14;156;198;750;NULL;1501200;NULL;NULL
15;156;198;800;NULL;1583300;NULL;NULL
16;156;198;850;NULL;1667500;NULL;NULL
17;156;198;900;NULL;1753800;NULL;NULL
18;156;198;950;NULL;1842200;NULL;NULL
19;156;198;1000;NULL;1925000;NULL;NULL
20;156;198;NULL;1;795700;NULL;NULL
21;156;198;NULL;2;1122200;NULL;NULL
22;156;198;NULL;3;1501200;NULL;NULL
23;156;198;NULL;4;1925000;NULL;NULL
24;156;208;100;NULL;750000;NULL;NULL
25;156;208;150;NULL;824000;NULL;NULL
26;156;208;200;NULL;901000;NULL;NULL
27;156;208;250;NULL;981000;NULL;NULL
28;156;208;300;NULL;1064000;NULL;NULL
29;156;208;350;NULL;1150000;NULL;NULL
30;156;208;400;NULL;1239000;NULL;NULL
31;156;208;450;NULL;1331000;NULL;NULL
32;156;208;500;NULL;1426000;NULL;NULL
33;156;208;550;NULL;1524000;NULL;NULL
34;156;208;600;NULL;1625000;NULL;NULL
35;156;208;650;NULL;1729000;NULL;NULL
36;156;208;700;NULL;1836000;NULL;NULL
37;156;208;750;NULL;1946000;NULL;NULL
38;156;208;800;NULL;2059000;NULL;NULL
39;156;208;850;NULL;2175000;NULL;NULL
40;156;208;900;NULL;2294000;NULL;NULL
41;156;208;950;NULL;2416000;NULL;NULL
42;156;208;1000;NULL;2541000;NULL;NULL
43;156;208;NULL;1;981000;NULL;NULL
44;156;208;NULL;2;1426000;NULL;NULL
45;156;208;NULL;3;1946000;NULL;NULL
46;156;208;NULL;4;2541000;NULL;NULL
47;156;212;100;NULL;750000;NULL;NULL
48;156;212;150;NULL;824000;NULL;NULL
49;156;212;200;NULL;901000;NULL;NULL
50;156;212;250;NULL;981000;NULL;NULL
51;156;212;300;NULL;1064000;NULL;NULL
52;156;212;350;NULL;1150000;NULL;NULL
53;156;212;400;NULL;1239000;NULL;NULL
54;156;212;450;NULL;1331000;NULL;NULL
55;156;212;500;NULL;1426000;NULL;NULL
56;156;212;550;NULL;1524000;NULL;NULL
57;156;212;600;NULL;1625000;NULL;NULL
58;156;212;650;NULL;1729000;NULL;NULL
59;156;212;700;NULL;1836000;NULL;NULL
60;156;212;750;NULL;1946000;NULL;NULL
61;156;212;800;NULL;2059000;NULL;NULL
62;156;212;850;NULL;2175000;NULL;NULL
63;156;212;900;NULL;2294000;NULL;NULL
64;156;212;950;NULL;2416000;NULL;NULL
65;156;212;1000;NULL;2541000;NULL;NULL
66;156;212;NULL;1;981000;NULL;NULL
67;156;212;NULL;2;1426000;NULL;NULL
68;156;212;NULL;3;1946000;NULL;NULL
69;156;212;NULL;4;2541000;NULL;NULL
70;156;221;100;NULL;750000;NULL;NULL
71;156;221;150;NULL;828750;NULL;NULL
72;156;221;200;NULL;910000;NULL;NULL
73;156;221;250;NULL;993750;NULL;NULL
74;156;221;300;NULL;1080000;NULL;NULL
75;156;221;350;NULL;1168750;NULL;NULL
76;156;221;400;NULL;1260000;NULL;NULL
77;156;221;450;NULL;1353750;NULL;NULL
78;156;221;500;NULL;1450000;NULL;NULL
79;156;221;550;NULL;1548750;NULL;NULL
80;156;221;600;NULL;1650000;NULL;NULL
81;156;221;650;NULL;1753750;NULL;NULL
82;156;221;700;NULL;1860000;NULL;NULL
83;156;221;750;NULL;1968750;NULL;NULL
84;156;221;800;NULL;2080000;NULL;NULL
85;156;221;850;NULL;2193750;NULL;NULL
86;156;221;900;NULL;2310000;NULL;NULL
87;156;221;950;NULL;2428750;NULL;NULL
88;156;221;1000;NULL;2550000;NULL;NULL
89;156;221;NULL;1;1467968;NULL;NULL
90;156;221;NULL;2;1450000;NULL;NULL
91;156;221;NULL;3;1968750;NULL;NULL
92;156;221;NULL;4;2550000;NULL;NULL
93;156;260;100;NULL;1250000;NULL;NULL
94;156;260;150;NULL;1415250;NULL;NULL
95;156;260;200;NULL;1586000;NULL;NULL
96;156;260;250;NULL;1762250;NULL;NULL
97;156;260;300;NULL;1944000;NULL;NULL
98;156;260;350;NULL;2131250;NULL;NULL
99;156;260;400;NULL;2324000;NULL;NULL
